,date,time,temp,humid,windspeed,condition
2018-01-01 00:00:00,2018-01-01,00:00:00,39,75,16,Partly Cloudy
2018-01-01 00:30:00,2018-01-01,00:30:00,37,81,14,Partly Cloudy
2018-01-01 01:00:00,2018-01-01,01:00:00,39,87,29,Light Rain Shower / Windy
2018-01-01 01:30:00,2018-01-01,01:30:00,41,81,31,Mostly Cloudy / Windy
2018-01-01 02:00:00,2018-01-01,02:00:00,39,87,26,Light Rain Shower / Windy
2018-01-01 02:30:00,2018-01-01,02:30:00,39,87,24,Partly Cloudy / Windy
2018-01-01 03:00:00,2018-01-01,03:00:00,41,81,28,Partly Cloudy / Windy
2018-01-01 03:30:00,2018-01-01,03:30:00,41,81,28,Light Rain Shower / Windy
2018-01-01 04:00:00,2018-01-01,04:00:00,41,81,28,Partly Cloudy / Windy
2018-01-01 04:30:00,2018-01-01,04:30:00,41,81,21,Partly Cloudy / Windy
2018-01-01 05:00:00,2018-01-01,05:00:00,41,81,26,Partly Cloudy / Windy
2018-01-01 05:30:00,2018-01-01,05:30:00,41,81,24,Mostly Cloudy / Windy
2018-01-01 06:00:00,2018-01-01,06:00:00,41,81,21,Mostly Cloudy / Windy
2018-01-01 06:30:00,2018-01-01,06:30:00,41,81,17,Mostly Cloudy
2018-01-01 07:00:00,2018-01-01,07:00:00,41,81,16,Mostly Cloudy
2018-01-01 07:30:00,2018-01-01,07:30:00,41,81,15,Mostly Cloudy
2018-01-01 08:00:00,2018-01-01,08:00:00,39,87,13,Mostly Cloudy
2018-01-01 08:30:00,2018-01-01,08:30:00,39,87,14,Mostly Cloudy
2018-01-01 09:00:00,2018-01-01,09:00:00,39,87,15,Mostly Cloudy
2018-01-01 09:30:00,2018-01-01,09:30:00,39,87,15,Mostly Cloudy
2018-01-01 10:00:00,2018-01-01,10:00:00,39,87,17,Partly Cloudy
2018-01-01 10:30:00,2018-01-01,10:30:00,41,81,20,Partly Cloudy
2018-01-01 11:00:00,2018-01-01,11:00:00,41,81,22,Partly Cloudy / Windy
2018-01-01 11:30:00,2018-01-01,11:30:00,43,81,24,Mostly Cloudy / Windy
2018-01-01 12:00:00,2018-01-01,12:00:00,43,81,28,Partly Cloudy / Windy
2018-01-01 12:30:00,2018-01-01,12:30:00,45,76,30,Mostly Cloudy / Windy
2018-01-01 13:00:00,2018-01-01,13:00:00,45,76,28,Mostly Cloudy / Windy
2018-01-01 13:30:00,2018-01-01,13:30:00,45,81,31,Light Rain Shower / Windy
2018-01-01 14:00:00,2018-01-01,14:00:00,45,81,29,Light Rain Shower / Windy
2018-01-01 14:30:00,2018-01-01,14:30:00,43,87,30,Light Rain Shower / Windy
2018-01-01 15:00:00,2018-01-01,15:00:00,43,81,28,Partly Cloudy / Windy
2018-01-01 15:30:00,2018-01-01,15:30:00,45,81,22,Partly Cloudy / Windy
2018-01-01 16:00:00,2018-01-01,16:00:00,43,87,26,Light Rain Shower / Windy
2018-01-01 16:30:00,2018-01-01,16:30:00,45,81,26,Mostly Cloudy / Windy
2018-01-01 17:00:00,2018-01-01,17:00:00,43,81,24,Partly Cloudy / Windy
2018-01-01 17:30:00,2018-01-01,17:30:00,43,81,21,Fair / Windy
2018-01-01 18:00:00,2018-01-01,18:00:00,41,81,21,Fair / Windy
2018-01-01 18:30:00,2018-01-01,18:30:00,41,87,16,Fair
2018-01-01 19:00:00,2018-01-01,19:00:00,41,87,15,Fair
2018-01-01 19:30:00,2018-01-01,19:30:00,41,87,15,Fair
2018-01-01 20:00:00,2018-01-01,20:00:00,41,87,18,Partly Cloudy
2018-01-01 20:30:00,2018-01-01,20:30:00,41,81,17,Partly Cloudy
2018-01-01 21:00:00,2018-01-01,21:00:00,41,81,18,Partly Cloudy
2018-01-01 21:30:00,2018-01-01,21:30:00,41,76,17,Partly Cloudy
2018-01-01 22:00:00,2018-01-01,22:00:00,39,81,20,Partly Cloudy
2018-01-01 22:30:00,2018-01-01,22:30:00,39,81,20,Partly Cloudy
2018-01-01 23:00:00,2018-01-01,23:00:00,37,81,17,Partly Cloudy
2018-01-01 23:30:00,2018-01-01,23:30:00,37,81,16,Partly Cloudy
2018-01-02 00:00:00,2018-01-02,00:00:00,43,87,32,Light Rain Shower / Windy
2018-01-02 00:30:00,2018-01-02,00:30:00,41,87,28,Mostly Cloudy / Windy
2018-01-02 01:00:00,2018-01-02,01:00:00,39,75,13,Partly Cloudy
2018-01-02 01:30:00,2018-01-02,01:30:00,39,75,13,Mostly Cloudy
2018-01-02 02:00:00,2018-01-02,02:00:00,39,75,14,Mostly Cloudy
2018-01-02 02:30:00,2018-01-02,02:30:00,39,75,12,Mostly Cloudy
2018-01-02 03:00:00,2018-01-02,03:00:00,39,75,7,Mostly Cloudy
2018-01-02 03:30:00,2018-01-02,03:30:00,39,75,7,Mostly Cloudy
2018-01-02 04:00:00,2018-01-02,04:00:00,39,75,7,Mostly Cloudy
2018-01-02 04:30:00,2018-01-02,04:30:00,39,75,6,Mostly Cloudy
2018-01-02 05:00:00,2018-01-02,05:00:00,39,75,5,Mostly Cloudy
2018-01-02 05:30:00,2018-01-02,05:30:00,41,76,10,Mostly Cloudy
2018-01-02 06:00:00,2018-01-02,06:00:00,41,76,12,Mostly Cloudy
2018-01-02 06:30:00,2018-01-02,06:30:00,41,76,10,Light Rain
2018-01-02 07:00:00,2018-01-02,07:00:00,41,81,7,Light Rain
2018-01-02 07:30:00,2018-01-02,07:30:00,43,87,10,Light Rain
2018-01-02 08:00:00,2018-01-02,08:00:00,43,93,14,Light Rain
2018-01-02 08:30:00,2018-01-02,08:30:00,43,93,14,Light Rain
2018-01-02 09:00:00,2018-01-02,09:00:00,45,87,10,Light Rain
2018-01-02 09:30:00,2018-01-02,09:30:00,46,87,13,Light Rain
2018-01-02 10:00:00,2018-01-02,10:00:00,48,87,20,Light Rain
2018-01-02 10:30:00,2018-01-02,10:30:00,48,87,23,Light Rain / Windy
2018-01-02 11:00:00,2018-01-02,11:00:00,48,87,24,Partly Cloudy / Windy
2018-01-02 11:30:00,2018-01-02,11:30:00,48,87,22,Partly Cloudy / Windy
2018-01-02 12:00:00,2018-01-02,12:00:00,48,87,22,Mostly Cloudy / Windy
2018-01-02 12:30:00,2018-01-02,12:30:00,50,82,23,Mostly Cloudy / Windy
2018-01-02 13:00:00,2018-01-02,13:00:00,50,76,28,Mostly Cloudy / Windy
2018-01-02 13:30:00,2018-01-02,13:30:00,50,76,26,Mostly Cloudy / Windy
2018-01-02 14:00:00,2018-01-02,14:00:00,50,76,24,Mostly Cloudy / Windy
2018-01-02 14:30:00,2018-01-02,14:30:00,50,76,22,Showers in the Vicinity
2018-01-02 15:00:00,2018-01-02,15:00:00,50,76,23,Light Rain / Windy
2018-01-02 15:30:00,2018-01-02,15:30:00,48,82,21,Light Rain / Windy
2018-01-02 16:00:00,2018-01-02,16:00:00,48,87,20,Light Rain
2018-01-02 16:30:00,2018-01-02,16:30:00,46,93,16,Light Rain
2018-01-02 17:00:00,2018-01-02,17:00:00,46,93,13,Light Rain
2018-01-02 17:30:00,2018-01-02,17:30:00,46,93,15,Light Rain
2018-01-02 18:00:00,2018-01-02,18:00:00,46,87,14,Mostly Cloudy
2018-01-02 18:30:00,2018-01-02,18:30:00,46,93,12,Light Rain
2018-01-02 19:00:00,2018-01-02,19:00:00,48,87,12,Light Rain
2018-01-02 19:30:00,2018-01-02,19:30:00,52,82,24,Mostly Cloudy / Windy
2018-01-02 20:00:00,2018-01-02,20:00:00,52,82,32,Mostly Cloudy / Windy
2018-01-02 20:30:00,2018-01-02,20:30:00,50,76,35,Light Rain Shower / Windy
2018-01-02 21:00:00,2018-01-02,21:00:00,48,71,40,Fair / Windy
2018-01-02 21:30:00,2018-01-02,21:30:00,48,71,39,Mostly Cloudy / Windy
2018-01-02 22:00:00,2018-01-02,22:00:00,46,76,41,Mostly Cloudy / Windy
2018-01-02 22:30:00,2018-01-02,22:30:00,46,76,36,Light Rain Shower / Windy
2018-01-02 23:00:00,2018-01-02,23:00:00,45,76,37,Mostly Cloudy / Windy
2018-01-02 23:30:00,2018-01-02,23:30:00,43,87,33,Light Rain Shower / Windy
2018-01-03 00:00:00,2018-01-03,00:00:00,43,81,18,Partly Cloudy
2018-01-03 00:30:00,2018-01-03,00:30:00,43,81,14,Partly Cloudy
2018-01-03 01:00:00,2018-01-03,01:00:00,41,87,24,Light Rain Shower / Windy
2018-01-03 01:30:00,2018-01-03,01:30:00,41,81,25,Mostly Cloudy / Windy
2018-01-03 02:00:00,2018-01-03,02:00:00,41,81,29,Partly Cloudy / Windy
2018-01-03 02:30:00,2018-01-03,02:30:00,41,81,28,Partly Cloudy / Windy
2018-01-03 03:00:00,2018-01-03,03:00:00,41,87,32,Partly Cloudy / Windy
2018-01-03 03:30:00,2018-01-03,03:30:00,43,81,30,Partly Cloudy / Windy
2018-01-03 04:00:00,2018-01-03,04:00:00,41,87,30,Light Rain Shower / Windy
2018-01-03 04:30:00,2018-01-03,04:30:00,41,87,35,Light Rain Shower / Windy
2018-01-03 05:00:00,2018-01-03,05:00:00,41,87,31,Light Rain Shower / Windy
2018-01-03 05:30:00,2018-01-03,05:30:00,41,87,31,Partly Cloudy / Windy
2018-01-03 06:00:00,2018-01-03,06:00:00,41,87,24,Partly Cloudy / Windy
2018-01-03 06:30:00,2018-01-03,06:30:00,43,81,24,Partly Cloudy / Windy
2018-01-03 07:00:00,2018-01-03,07:00:00,43,87,24,Light Rain Shower / Windy
2018-01-03 07:30:00,2018-01-03,07:30:00,43,87,24,Partly Cloudy / Windy
2018-01-03 08:00:00,2018-01-03,08:00:00,43,81,36,Partly Cloudy / Windy
2018-01-03 08:30:00,2018-01-03,08:30:00,45,76,35,Mostly Cloudy / Windy
2018-01-03 09:00:00,2018-01-03,09:00:00,45,81,32,Mostly Cloudy / Windy
2018-01-03 09:30:00,2018-01-03,09:30:00,45,81,26,Mostly Cloudy / Windy
2018-01-03 10:00:00,2018-01-03,10:00:00,45,76,28,Fair / Windy
2018-01-03 10:30:00,2018-01-03,10:30:00,45,76,30,Fair / Windy
2018-01-03 11:00:00,2018-01-03,11:00:00,45,76,28,Fair / Windy
2018-01-03 11:30:00,2018-01-03,11:30:00,45,81,32,Light Rain Shower / Windy
2018-01-03 12:00:00,2018-01-03,12:00:00,45,76,28,Mostly Cloudy / Windy
2018-01-03 12:30:00,2018-01-03,12:30:00,45,81,26,Fair / Windy
2018-01-03 13:00:00,2018-01-03,13:00:00,45,81,26,Light Rain Shower / Windy
2018-01-03 13:30:00,2018-01-03,13:30:00,45,87,28,Light Rain Shower / Windy
2018-01-03 14:00:00,2018-01-03,14:00:00,46,76,30,Showers in the Vicinity
2018-01-03 14:30:00,2018-01-03,14:30:00,45,87,26,Light Rain Shower / Windy
2018-01-03 15:00:00,2018-01-03,15:00:00,46,76,29,Showers in the Vicinity
2018-01-03 15:30:00,2018-01-03,15:30:00,46,76,30,Partly Cloudy / Windy
2018-01-03 16:00:00,2018-01-03,16:00:00,46,76,30,Light Rain Shower / Windy
2018-01-03 16:30:00,2018-01-03,16:30:00,46,76,30,Mostly Cloudy / Windy
2018-01-03 17:00:00,2018-01-03,17:00:00,46,76,31,Mostly Cloudy / Windy
2018-01-03 17:30:00,2018-01-03,17:30:00,46,76,30,Mostly Cloudy / Windy
2018-01-03 18:00:00,2018-01-03,18:00:00,46,76,30,Mostly Cloudy / Windy
2018-01-03 18:30:00,2018-01-03,18:30:00,46,76,29,Mostly Cloudy / Windy
2018-01-03 19:00:00,2018-01-03,19:00:00,45,81,26,Mostly Cloudy / Windy
2018-01-03 19:30:00,2018-01-03,19:30:00,45,81,30,Mostly Cloudy / Windy
2018-01-03 20:00:00,2018-01-03,20:00:00,45,81,28,Mostly Cloudy / Windy
2018-01-03 20:30:00,2018-01-03,20:30:00,45,81,25,Mostly Cloudy / Windy
2018-01-03 21:00:00,2018-01-03,21:00:00,45,81,25,Partly Cloudy / Windy
2018-01-03 21:30:00,2018-01-03,21:30:00,45,81,26,Partly Cloudy / Windy
2018-01-03 22:00:00,2018-01-03,22:00:00,45,76,22,Partly Cloudy / Windy
2018-01-03 22:30:00,2018-01-03,22:30:00,45,76,23,Partly Cloudy / Windy
2018-01-03 23:00:00,2018-01-03,23:00:00,43,81,23,Partly Cloudy / Windy
2018-01-03 23:30:00,2018-01-03,23:30:00,43,81,18,Partly Cloudy
2018-01-04 00:00:00,2018-01-04,00:00:00,39,87,10,Mostly Cloudy
2018-01-04 00:30:00,2018-01-04,00:30:00,39,87,8,Mostly Cloudy
2018-01-04 01:00:00,2018-01-04,01:00:00,43,87,15,Mostly Cloudy
2018-01-04 01:30:00,2018-01-04,01:30:00,43,87,14,Mostly Cloudy
2018-01-04 02:00:00,2018-01-04,02:00:00,43,87,13,Mostly Cloudy
2018-01-04 02:30:00,2018-01-04,02:30:00,43,81,10,Mostly Cloudy
2018-01-04 03:00:00,2018-01-04,03:00:00,43,81,16,Light Rain
2018-01-04 03:30:00,2018-01-04,03:30:00,41,87,10,Rain
2018-01-04 04:00:00,2018-01-04,04:00:00,39,93,6,Rain
2018-01-04 04:30:00,2018-01-04,04:30:00,39,93,2,Rain
2018-01-04 05:00:00,2018-01-04,05:00:00,39,93,12,Rain
2018-01-04 05:30:00,2018-01-04,05:30:00,39,93,14,Rain
2018-01-04 06:00:00,2018-01-04,06:00:00,39,93,14,Rain
2018-01-04 06:30:00,2018-01-04,06:30:00,39,100,18,Rain
2018-01-04 07:00:00,2018-01-04,07:00:00,41,93,22,Rain / Windy
2018-01-04 07:30:00,2018-01-04,07:30:00,41,93,23,Rain / Windy
2018-01-04 08:00:00,2018-01-04,08:00:00,41,100,18,Mostly Cloudy
2018-01-04 08:30:00,2018-01-04,08:30:00,43,93,13,Mostly Cloudy
2018-01-04 09:00:00,2018-01-04,09:00:00,43,100,7,Light Rain
2018-01-04 09:30:00,2018-01-04,09:30:00,48,87,12,Mostly Cloudy
2018-01-04 10:00:00,2018-01-04,10:00:00,48,87,15,Light Rain
2018-01-04 10:30:00,2018-01-04,10:30:00,48,87,17,Mostly Cloudy
2018-01-04 11:00:00,2018-01-04,11:00:00,48,87,16,Mostly Cloudy
2018-01-04 11:30:00,2018-01-04,11:30:00,46,93,24,Light Rain / Windy
2018-01-04 12:00:00,2018-01-04,12:00:00,41,87,39,Mostly Cloudy / Windy
2018-01-04 12:30:00,2018-01-04,12:30:00,41,81,32,Partly Cloudy / Windy
2018-01-04 13:00:00,2018-01-04,13:00:00,39,87,35,Partly Cloudy / Windy
2018-01-04 13:30:00,2018-01-04,13:30:00,41,87,25,Light Drizzle / Windy
2018-01-04 14:00:00,2018-01-04,14:00:00,43,81,28,Mostly Cloudy / Windy
2018-01-04 14:30:00,2018-01-04,14:30:00,43,81,30,Partly Cloudy / Windy
2018-01-04 15:00:00,2018-01-04,15:00:00,45,76,28,Mostly Cloudy / Windy
2018-01-04 15:30:00,2018-01-04,15:30:00,43,81,25,Mostly Cloudy / Windy
2018-01-04 16:00:00,2018-01-04,16:00:00,43,81,23,Partly Cloudy / Windy
2018-01-04 16:30:00,2018-01-04,16:30:00,43,76,21,Fair / Windy
2018-01-04 17:00:00,2018-01-04,17:00:00,43,76,22,Fair / Windy
2018-01-04 17:30:00,2018-01-04,17:30:00,43,76,16,Partly Cloudy
2018-01-04 18:00:00,2018-01-04,18:00:00,41,81,16,Partly Cloudy
2018-01-04 18:30:00,2018-01-04,18:30:00,41,87,16,Mostly Cloudy
2018-01-04 19:00:00,2018-01-04,19:00:00,41,87,21,Mostly Cloudy / Windy
2018-01-04 19:30:00,2018-01-04,19:30:00,41,87,21,Mostly Cloudy / Windy
2018-01-04 20:00:00,2018-01-04,20:00:00,41,81,16,Partly Cloudy
2018-01-04 20:30:00,2018-01-04,20:30:00,41,81,8,Mostly Cloudy
2018-01-04 21:00:00,2018-01-04,21:00:00,39,87,12,Mostly Cloudy
2018-01-04 21:30:00,2018-01-04,21:30:00,41,81,10,Mostly Cloudy
2018-01-04 22:00:00,2018-01-04,22:00:00,41,81,12,Partly Cloudy
2018-01-04 22:30:00,2018-01-04,22:30:00,39,87,9,Partly Cloudy
2018-01-04 23:00:00,2018-01-04,23:00:00,41,81,12,Mostly Cloudy
2018-01-04 23:30:00,2018-01-04,23:30:00,41,81,9,Mostly Cloudy
2018-01-05 00:00:00,2018-01-05,00:00:00,32,100,1,Mostly Cloudy
2018-01-05 00:30:00,2018-01-05,00:30:00,32,100,6,Mostly Cloudy
2018-01-05 01:00:00,2018-01-05,01:00:00,39,87,8,Mostly Cloudy
2018-01-05 01:30:00,2018-01-05,01:30:00,39,87,5,Mostly Cloudy
2018-01-05 02:00:00,2018-01-05,02:00:00,39,87,5,Mostly Cloudy
2018-01-05 02:30:00,2018-01-05,02:30:00,39,87,5,Mostly Cloudy
2018-01-05 03:00:00,2018-01-05,03:00:00,39,87,7,Mostly Cloudy
2018-01-05 03:30:00,2018-01-05,03:30:00,39,87,8,Mostly Cloudy
2018-01-05 04:00:00,2018-01-05,04:00:00,39,87,10,Mostly Cloudy
2018-01-05 04:30:00,2018-01-05,04:30:00,37,93,7,Mostly Cloudy
2018-01-05 05:00:00,2018-01-05,05:00:00,37,87,8,Mostly Cloudy
2018-01-05 05:30:00,2018-01-05,05:30:00,36,93,7,Mostly Cloudy
2018-01-05 06:00:00,2018-01-05,06:00:00,36,93,7,Mostly Cloudy
2018-01-05 06:30:00,2018-01-05,06:30:00,36,93,8,Mostly Cloudy
2018-01-05 07:00:00,2018-01-05,07:00:00,36,93,8,Partly Cloudy
2018-01-05 07:30:00,2018-01-05,07:30:00,36,93,9,Fair
2018-01-05 08:00:00,2018-01-05,08:00:00,36,93,9,Partly Cloudy
2018-01-05 08:30:00,2018-01-05,08:30:00,36,93,9,Partly Cloudy
2018-01-05 09:00:00,2018-01-05,09:00:00,36,93,8,Mostly Cloudy
2018-01-05 09:30:00,2018-01-05,09:30:00,36,93,10,Mostly Cloudy
2018-01-05 10:00:00,2018-01-05,10:00:00,36,93,10,Mostly Cloudy
2018-01-05 10:30:00,2018-01-05,10:30:00,36,93,9,Mostly Cloudy
2018-01-05 11:00:00,2018-01-05,11:00:00,37,87,10,Mostly Cloudy
2018-01-05 11:30:00,2018-01-05,11:30:00,37,87,10,Mostly Cloudy
2018-01-05 12:00:00,2018-01-05,12:00:00,37,87,10,Mostly Cloudy
2018-01-05 12:30:00,2018-01-05,12:30:00,37,87,9,Mostly Cloudy
2018-01-05 13:00:00,2018-01-05,13:00:00,39,87,8,Mostly Cloudy
2018-01-05 13:30:00,2018-01-05,13:30:00,41,81,10,Mostly Cloudy
2018-01-05 14:00:00,2018-01-05,14:00:00,43,76,9,Mostly Cloudy
2018-01-05 14:30:00,2018-01-05,14:30:00,45,71,9,Mostly Cloudy
2018-01-05 15:00:00,2018-01-05,15:00:00,43,76,13,Mostly Cloudy
2018-01-05 15:30:00,2018-01-05,15:30:00,43,76,12,Mostly Cloudy
2018-01-05 16:00:00,2018-01-05,16:00:00,41,81,8,Mostly Cloudy
2018-01-05 16:30:00,2018-01-05,16:30:00,41,81,6,Partly Cloudy
2018-01-05 17:00:00,2018-01-05,17:00:00,41,81,8,Partly Cloudy
2018-01-05 17:30:00,2018-01-05,17:30:00,41,81,6,Partly Cloudy
2018-01-05 18:00:00,2018-01-05,18:00:00,39,81,8,Partly Cloudy
2018-01-05 18:30:00,2018-01-05,18:30:00,39,81,8,Partly Cloudy
2018-01-05 19:00:00,2018-01-05,19:00:00,39,87,7,Mostly Cloudy
2018-01-05 19:30:00,2018-01-05,19:30:00,39,81,6,Mostly Cloudy
2018-01-05 20:00:00,2018-01-05,20:00:00,36,87,7,Mostly Cloudy
2018-01-05 20:30:00,2018-01-05,20:30:00,37,87,8,Mostly Cloudy
2018-01-05 21:00:00,2018-01-05,21:00:00,34,93,8,Mostly Cloudy
2018-01-05 21:30:00,2018-01-05,21:30:00,34,93,8,Mostly Cloudy
2018-01-05 22:00:00,2018-01-05,22:00:00,34,93,6,Partly Cloudy
2018-01-05 22:30:00,2018-01-05,22:30:00,32,93,5,Fair
2018-01-05 23:00:00,2018-01-05,23:00:00,32,93,5,Mostly Cloudy
2018-01-05 23:30:00,2018-01-05,23:30:00,30,100,1,Mostly Cloudy
2018-01-06 00:00:00,2018-01-06,00:00:00,37,81,12,Fair
2018-01-06 00:30:00,2018-01-06,00:30:00,37,81,12,Fair
2018-01-06 01:00:00,2018-01-06,01:00:00,32,93,6,Partly Cloudy
2018-01-06 01:30:00,2018-01-06,01:30:00,32,93,5,Mostly Cloudy
2018-01-06 02:00:00,2018-01-06,02:00:00,32,100,6,Mostly Cloudy
2018-01-06 02:30:00,2018-01-06,02:30:00,30,100,8,Mostly Cloudy
2018-01-06 03:00:00,2018-01-06,03:00:00,34,93,8,Mostly Cloudy
2018-01-06 03:30:00,2018-01-06,03:30:00,37,93,10,Mostly Cloudy
2018-01-06 04:00:00,2018-01-06,04:00:00,37,93,10,Mostly Cloudy
2018-01-06 04:30:00,2018-01-06,04:30:00,39,87,13,Partly Cloudy
2018-01-06 05:00:00,2018-01-06,05:00:00,39,87,15,Partly Cloudy
2018-01-06 05:30:00,2018-01-06,05:30:00,41,81,14,Mostly Cloudy
2018-01-06 06:00:00,2018-01-06,06:00:00,41,81,16,Mostly Cloudy
2018-01-06 06:30:00,2018-01-06,06:30:00,43,76,16,Mostly Cloudy
2018-01-06 07:00:00,2018-01-06,07:00:00,41,81,18,Mostly Cloudy
2018-01-06 07:30:00,2018-01-06,07:30:00,41,76,17,Mostly Cloudy
2018-01-06 08:00:00,2018-01-06,08:00:00,41,81,18,Mostly Cloudy
2018-01-06 08:30:00,2018-01-06,08:30:00,41,81,20,Mostly Cloudy
2018-01-06 09:00:00,2018-01-06,09:00:00,41,76,20,Mostly Cloudy
2018-01-06 09:30:00,2018-01-06,09:30:00,41,76,20,Mostly Cloudy
2018-01-06 10:00:00,2018-01-06,10:00:00,41,76,22,Mostly Cloudy / Windy
2018-01-06 10:30:00,2018-01-06,10:30:00,41,76,18,Mostly Cloudy
2018-01-06 11:00:00,2018-01-06,11:00:00,43,76,21,Mostly Cloudy / Windy
2018-01-06 11:30:00,2018-01-06,11:30:00,43,76,18,Mostly Cloudy
2018-01-06 12:00:00,2018-01-06,12:00:00,43,76,21,Mostly Cloudy / Windy
2018-01-06 12:30:00,2018-01-06,12:30:00,43,70,23,Mostly Cloudy / Windy
2018-01-06 13:00:00,2018-01-06,13:00:00,43,70,22,Mostly Cloudy / Windy
2018-01-06 13:30:00,2018-01-06,13:30:00,43,76,21,Mostly Cloudy / Windy
2018-01-06 14:00:00,2018-01-06,14:00:00,43,70,24,Partly Cloudy / Windy
2018-01-06 14:30:00,2018-01-06,14:30:00,43,66,21,Showers in the Vicinity
2018-01-06 15:00:00,2018-01-06,15:00:00,41,70,21,Partly Cloudy / Windy
2018-01-06 15:30:00,2018-01-06,15:30:00,41,70,24,Mostly Cloudy / Windy
2018-01-06 16:00:00,2018-01-06,16:00:00,41,70,24,Mostly Cloudy / Windy
2018-01-06 16:30:00,2018-01-06,16:30:00,41,70,17,Mostly Cloudy
2018-01-06 17:00:00,2018-01-06,17:00:00,41,65,20,Mostly Cloudy
2018-01-06 17:30:00,2018-01-06,17:30:00,39,70,17,Mostly Cloudy
2018-01-06 18:00:00,2018-01-06,18:00:00,39,70,20,Mostly Cloudy
2018-01-06 18:30:00,2018-01-06,18:30:00,41,70,16,Mostly Cloudy
2018-01-06 19:00:00,2018-01-06,19:00:00,39,75,18,Mostly Cloudy
2018-01-06 19:30:00,2018-01-06,19:30:00,41,70,15,Light Rain Shower
2018-01-06 20:00:00,2018-01-06,20:00:00,39,75,14,Light Rain Shower
2018-01-06 20:30:00,2018-01-06,20:30:00,39,75,16,Mostly Cloudy
2018-01-06 21:00:00,2018-01-06,21:00:00,39,70,14,Mostly Cloudy
2018-01-06 21:30:00,2018-01-06,21:30:00,39,75,13,Mostly Cloudy
2018-01-06 22:00:00,2018-01-06,22:00:00,39,75,16,Mostly Cloudy
2018-01-06 22:30:00,2018-01-06,22:30:00,37,81,10,Partly Cloudy
2018-01-06 23:00:00,2018-01-06,23:00:00,37,81,10,Fair
2018-01-06 23:30:00,2018-01-06,23:30:00,37,81,12,Fair
2018-01-07 00:00:00,2018-01-07,00:00:00,36,65,12,Partly Cloudy
2018-01-07 00:30:00,2018-01-07,00:30:00,32,75,9,Partly Cloudy
2018-01-07 01:00:00,2018-01-07,01:00:00,36,87,12,Partly Cloudy
2018-01-07 01:30:00,2018-01-07,01:30:00,37,81,9,Partly Cloudy
2018-01-07 02:00:00,2018-01-07,02:00:00,37,87,12,Partly Cloudy
2018-01-07 02:30:00,2018-01-07,02:30:00,37,87,9,Partly Cloudy
2018-01-07 03:00:00,2018-01-07,03:00:00,37,87,9,Partly Cloudy
2018-01-07 03:30:00,2018-01-07,03:30:00,37,87,10,Partly Cloudy
2018-01-07 04:00:00,2018-01-07,04:00:00,36,93,8,Fair
2018-01-07 04:30:00,2018-01-07,04:30:00,36,87,7,Fair
2018-01-07 05:00:00,2018-01-07,05:00:00,34,93,8,Partly Cloudy
2018-01-07 05:30:00,2018-01-07,05:30:00,34,93,8,Fair
2018-01-07 06:00:00,2018-01-07,06:00:00,36,87,8,Partly Cloudy
2018-01-07 06:30:00,2018-01-07,06:30:00,36,87,8,Partly Cloudy
2018-01-07 07:00:00,2018-01-07,07:00:00,34,87,9,Partly Cloudy
2018-01-07 07:30:00,2018-01-07,07:30:00,36,81,12,Partly Cloudy
2018-01-07 08:00:00,2018-01-07,08:00:00,39,75,12,Partly Cloudy
2018-01-07 08:30:00,2018-01-07,08:30:00,39,75,10,Partly Cloudy
2018-01-07 09:00:00,2018-01-07,09:00:00,41,65,13,Mostly Cloudy
2018-01-07 09:30:00,2018-01-07,09:30:00,39,70,13,Mostly Cloudy
2018-01-07 10:00:00,2018-01-07,10:00:00,41,65,12,Mostly Cloudy
2018-01-07 10:30:00,2018-01-07,10:30:00,41,65,12,Mostly Cloudy
2018-01-07 11:00:00,2018-01-07,11:00:00,41,65,12,Mostly Cloudy
2018-01-07 11:30:00,2018-01-07,11:30:00,41,70,13,Mostly Cloudy
2018-01-07 12:00:00,2018-01-07,12:00:00,41,70,14,Mostly Cloudy
2018-01-07 12:30:00,2018-01-07,12:30:00,43,61,14,Mostly Cloudy
2018-01-07 13:00:00,2018-01-07,13:00:00,43,61,16,Mostly Cloudy
2018-01-07 13:30:00,2018-01-07,13:30:00,43,66,14,Mostly Cloudy
2018-01-07 14:00:00,2018-01-07,14:00:00,41,65,13,Mostly Cloudy
2018-01-07 14:30:00,2018-01-07,14:30:00,43,61,15,Mostly Cloudy
2018-01-07 15:00:00,2018-01-07,15:00:00,41,65,17,Mostly Cloudy
2018-01-07 15:30:00,2018-01-07,15:30:00,41,65,14,Partly Cloudy
2018-01-07 16:00:00,2018-01-07,16:00:00,41,65,14,Mostly Cloudy
2018-01-07 16:30:00,2018-01-07,16:30:00,39,75,14,Mostly Cloudy
2018-01-07 17:00:00,2018-01-07,17:00:00,39,70,12,Mostly Cloudy
2018-01-07 17:30:00,2018-01-07,17:30:00,37,65,14,Mostly Cloudy
2018-01-07 18:00:00,2018-01-07,18:00:00,37,70,12,Mostly Cloudy
2018-01-07 18:30:00,2018-01-07,18:30:00,36,75,15,Mostly Cloudy
2018-01-07 19:00:00,2018-01-07,19:00:00,36,75,13,Mostly Cloudy
2018-01-07 19:30:00,2018-01-07,19:30:00,34,81,10,Mostly Cloudy
2018-01-07 20:00:00,2018-01-07,20:00:00,34,81,14,Mostly Cloudy
2018-01-07 20:30:00,2018-01-07,20:30:00,36,70,10,Mostly Cloudy
